date,status,reason,candidate_count,title,url,note
"2025-04-24","still_missing","no_article_candidate","0","","",""
"2025-04-23","still_missing","no_article_candidate","0","","",""
"2025-04-22","still_missing","no_article_candidate","0","","",""
"2025-04-21","still_missing","no_article_candidate","0","","",""
"2025-04-20","still_missing","no_article_candidate","0","","",""
"2025-04-19","still_missing","no_article_candidate","0","","",""
"2025-04-18","still_missing","no_article_candidate","0","","",""
"2025-04-17","still_missing","no_article_candidate","0","","",""
"2025-04-16","still_missing","no_article_candidate","0","","",""
"2025-04-15","still_missing","no_article_candidate","0","","",""
"2025-04-14","still_missing","no_article_candidate","0","","",""
"2025-04-13","still_missing","no_article_candidate","0","","",""
"2025-04-12","still_missing","no_article_candidate","0","","",""
"2025-04-11","still_missing","no_article_candidate","0","","",""
"2025-04-09","still_missing","no_article_candidate","0","","",""
"2025-04-08","still_missing","no_article_candidate","0","","",""
"2025-04-07","still_missing","no_article_candidate","0","","",""
"2025-04-06","still_missing","no_article_candidate","0","","",""
"2025-04-05","still_missing","no_article_candidate","0","","",""
"2025-04-04","still_missing","no_article_candidate","0","","",""
"2025-04-03","still_missing","no_article_candidate","0","","",""
"2025-04-02","still_missing","no_article_candidate","0","","",""
"2025-04-01","still_missing","validation_failed","1","","",""
"2025-03-31","still_missing","no_article_candidate","0","","",""
"2025-03-30","still_missing","no_article_candidate","0","","",""
"2025-03-29","still_missing","validation_failed","1","","",""
"2025-03-27","still_missing","no_article_candidate","0","","",""
"2025-03-26","still_missing","no_article_candidate","0","","",""
"2025-03-25","still_missing","no_article_candidate","0","","",""
"2025-03-24","still_missing","no_article_candidate","0","","",""
"2025-03-23","still_missing","no_article_candidate","0","","",""
"2025-03-22","still_missing","no_article_candidate","0","","",""
"2025-03-21","still_missing","no_article_candidate","0","","",""
"2025-03-20","still_missing","no_article_candidate","0","","",""
"2025-03-18","still_missing","no_article_candidate","0","","",""
"2025-03-16","still_missing","no_article_candidate","0","","",""
"2025-03-15","still_missing","no_article_candidate","0","","",""
"2025-03-14","still_missing","no_article_candidate","0","","",""
"2025-03-12","still_missing","no_article_candidate","0","","",""
"2025-03-11","still_missing","no_article_candidate","0","","",""
"2025-03-08","still_missing","no_article_candidate","0","","",""
"2025-03-07","still_missing","validation_failed","1","","",""
"2025-03-06","still_missing","no_article_candidate","0","","",""
"2025-03-05","still_missing","validation_failed","1","","",""
"2025-02-28","still_missing","no_article_candidate","0","","",""
"2025-02-27","still_missing","no_article_candidate","0","","",""
"2025-02-26","still_missing","validation_failed","1","","",""
"2025-02-25","still_missing","no_article_candidate","0","","",""
"2025-02-24","still_missing","no_article_candidate","0","","",""
"2025-02-23","still_missing","validation_failed","1","","",""
"2025-02-22","still_missing","no_article_candidate","0","","",""
"2025-02-21","still_missing","no_article_candidate","0","","",""
"2025-02-20","still_missing","no_article_candidate","0","","",""
"2025-02-19","still_missing","no_article_candidate","0","","",""
"2025-02-18","still_missing","no_article_candidate","0","","",""
"2025-02-17","still_missing","validation_failed","1","","",""
"2025-02-16","still_missing","no_article_candidate","0","","",""
"2025-02-15","still_missing","no_article_candidate","0","","",""
"2025-02-14","still_missing","no_article_candidate","0","","",""
"2025-02-11","still_missing","validation_failed","1","","",""
"2025-02-08","still_missing","no_article_candidate","0","","",""
"2025-02-07","still_missing","no_article_candidate","0","","",""
"2025-02-06","still_missing","no_article_candidate","0","","",""
"2025-02-05","still_missing","no_article_candidate","0","","",""
"2025-02-04","still_missing","no_article_candidate","0","","",""
"2025-01-31","still_missing","no_article_candidate","0","","",""
"2025-01-30","still_missing","validation_failed","1","今日酒价- 茅台全线暴涨 各大名酒批发参考价 1月30日","https://mp.weixin.qq.com/s/P_fWRq4Jho-7UVNCuqU7FA","Account-scoped result was opened, but copied article publish date is 2026-01-30, not target 2025-01-30."
"2025-01-29","still_missing","no_article_candidate","0","","",""
"2025-01-28","still_missing","no_article_candidate","0","","",""
"2025-01-27","still_missing","no_article_candidate","0","","",""
"2025-01-26","still_missing","no_article_candidate","0","","",""
"2025-01-25","still_missing","no_article_candidate","0","","",""
"2025-01-24","still_missing","no_article_candidate","0","","",""
"2025-01-23","still_missing","no_article_candidate","0","","",""
"2025-01-22","still_missing","no_article_candidate","0","","",""
"2025-01-21","still_missing","no_article_candidate","0","","",""
"2025-01-20","still_missing","no_article_candidate","0","","",""
"2025-01-19","still_missing","no_article_candidate","0","","",""
"2025-01-18","still_missing","no_article_candidate","0","","",""
"2025-01-17","still_missing","no_article_candidate","0","","",""
"2025-01-16","still_missing","no_article_candidate","0","","",""
"2025-01-12","still_missing","no_article_candidate","0","","",""
"2025-01-11","still_missing","no_article_candidate","0","","",""
"2025-01-09","still_missing","no_article_candidate","0","","",""
"2025-01-08","still_missing","no_article_candidate","0","","",""
"2025-01-07","still_missing","no_article_candidate","0","","",""
"2025-01-06","still_missing","no_article_candidate","0","","",""
"2025-01-05","still_missing","validation_failed","1","","",""
"2025-01-04","still_missing","no_article_candidate","0","","",""
"2025-01-03","still_missing","no_article_candidate","0","","",""
"2025-01-02","still_missing","no_article_candidate","0","","",""
"2025-01-01","still_missing","no_article_candidate","0","","",""
